customer_id,android_id,trans_time,wifimac,wifimac_id
4369522,5de5ef4eecf17a38,2020-09-04 10:10:39,FC:A5:D0:94:91:1B,0
4316582,a286d61dc7f9af36,2020-08-16 12:10:17,20:47:DA:10:7F:B3,1
4156671,af0ea8e0e1d3572a,2020-07-18 12:55:04,20:5E:F7:72:45:10,2
4384691,2e95643fac726119,2020-09-17 05:01:30,02:54:C0:A4:D1:87,3
588378,205d074387ab374c,2020-08-14 08:20:09,E0:1F:88:42:94:30,4
4337013,9ecfeca05070a2a1,2020-08-25 16:20:21,7C:03:AB:84:19:BC,5
4386685,86d915e0ef236f83,2020-09-15 13:05:37,0C:A8:A7:32:09:F2,6
4368397,1305624a094f76f6,2020-09-20 10:30:13,9E:93:0A:D6:53:A4,7
4368397,1305624a094f76f6,2020-09-20 10:30:13,B0:B5:C3:8B:81:49,8
4297014,23693591bdef6972,2020-09-03 09:30:08,CC:2D:83:A8:CA:A2,9
4341397,f4c06760df822b5e,2020-09-03 09:25:24,6C:5C:14:70:74:20,10
4298243,c5fcea04b73b617a,2020-08-18 10:00:10,4E:AD:5C:7E:54:CA,11
4298243,c5fcea04b73b617a,2020-08-18 10:00:10,A4:D9:90:CF:A2:F1,12
4268128,67ab553072b866d5,2020-07-21 11:35:31,D8:A3:15:85:9D:F3,13
575689,e843177f9caf1cc9,2020-08-27 13:00:13,FE:70:69:13:65:41,14
4400762,0a88f213f133e09d,2020-09-17 09:30:17,B8:C9:B5:AA:AF:89,15
4401144,0f0f99602860b021,2020-09-21 20:05:02,0C:A8:A7:A2:53:10,16
4395989,38298d22c0561ebf,2020-09-15 11:25:06,20:A6:0C:54:CD:FB,17
4273449,f4fcc9de28187dd1,2020-09-15 14:40:02,A4:D9:90:27:B6:21,18
1859336,6f5e07ea5bcc7abb,2020-08-27 18:05:26,20:34:FB:FD:4B:6C,19
4090987,6bc305618b9a52a2,2020-08-17 18:15:08,A4:D9:90:2C:88:BD,20
4193195,cd58f8bde211babc,2020-08-18 17:05:30,20:5E:F7:26:1F:98,21
4353773,914ad0ed29970f6e,2020-08-28 18:40:07,20:34:FB:68:78:3B,22
4325061,02155dea67726254,2020-09-06 08:45:07,70:DD:A8:11:2C:63,23
4065243,cf208876a13f4b43,2020-09-15 15:20:23,D8:A3:15:7C:5B:E1,24
4392412,83bdb2c2ba78ec4c,2020-09-13 11:45:16,F4:D6:20:95:BA:40,25
4408779,2f55a6c2aab9d196,2020-09-21 15:50:16,0C:A8:A7:74:58:2E,26
4253551,f1a4ae9710b6d395,2020-07-13 10:30:21,0C:A8:A7:86:81:7E,27
4367058,59408d28eefd64a7,2020-09-11 15:10:23,20:74:54:A3:38:D3,28
4346417,762fd66e1be98f17,2020-09-02 10:15:53,20:34:FB:E3:70:FA,29
4322907,a60b399be3e566c8,2020-08-18 14:05:26,C0:87:EB:C7:78:59,30
4101260,b963ce0b69432182,2020-07-01 13:45:11,D8:63:75:5B:8C:E3,31
4354369,ac47011632baa9d5,2020-08-28 16:50:11,88:5A:06:61:DF:B7,32
4368575,b15dd2ac4775d2f3,2020-09-03 15:00:25,D0:9C:7A:11:70:E0,33
4284057,5670c6f6ebf3693b,2020-08-01 03:55:02,88:40:3B:2E:50:1E,34
4287937,589b4f7236969bcd,2020-08-12 09:35:12,18:F0:E4:6A:E1:9E,35
4314047,bb470014a0b10e56,2020-08-15 14:05:12,A4:6C:F1:0E:A9:7A,36
4363996,c3fe9256ffd90f31,2020-09-07 13:25:13,B8:C9:B5:D2:C4:17,37
4353042,54aa8d6d5160fef5,2020-08-28 09:05:51,70:DD:A8:10:E2:EF,38
4290797,d26b6d0b2f4b03de,2020-09-07 13:35:12,0C:98:38:A8:9E:6D,39
4353591,b26289a6bf9b3af6,2020-09-05 10:25:15,0C:A8:A7:EA:8A:E0,40
4388316,a18afe07b7afbd57,2020-09-10 15:10:05,18:D0:C5:67:6C:DF,41
4348222,7781325a60f6c684,2020-08-28 12:30:06,D4:38:9C:82:AA:7B,42
4345664,1988ae51eb8564af,2020-08-25 18:40:08,1C:C3:EB:4B:6E:33,43
4343722,dc9a2d8485802650,2020-09-01 10:30:08,70:78:8B:D3:9E:6D,44
4382604,d89d0162a0853188,2020-09-09 09:30:30,A4:D9:90:28:66:BB,45
4391245,14ebee02710efbd5,2020-09-12 16:45:16,C4:FE:5B:75:9F:B9,46
4388531,0fa6d401a322fa3a,2020-09-11 09:50:17,A2:68:F5:53:F4:89,47
4313824,9772511d4f26072e,2020-08-15 13:05:23,A8:1B:5A:DF:3C:BD,48
637529,f9d6843cc22cf93d,2020-09-07 05:01:25,78:02:F8:70:03:5C,49
4365432,6b68b4ed95f85a43,2020-09-10 04:05:36,88:BF:E4:7A:F2:3A,50
4269858,5fcaa0863d04bf06,2020-09-05 14:25:18,28:02:D8:60:A3:08,51
4377827,1ef830f7543e5943,2020-09-06 20:30:10,0C:A8:A7:41:6E:F4,52
4387560,0c0458324b5e89dc,2020-09-12 05:01:02,4C:66:41:2F:F6:10,53
4342399,1fad4e7857d882de,2020-09-15 18:50:11,70:B7:AA:AE:7C:AF,54
4367508,b1b698df0110826a,2020-09-06 14:55:02,1C:C3:EB:38:2C:B9,55
4284646,84eb257d774d0154,2020-08-21 14:35:08,68:3E:34:15:77:FF,56
4327291,8bf7d8a39cb5ceb7,2020-08-20 15:40:11,9C:F5:31:82:EE:CF,57
4399666,60eb57b00383705f,2020-09-16 15:45:17,B4:A5:AC:CD:DB:29,58
4377392,a61d22e27cd0279a,2020-09-13 12:50:09,0C:98:38:A3:58:91,59
4232497,1c629d2c65451e56,2020-07-11 22:35:13,0C:98:38:FC:41:AB,60
4349338,d5492b51a54bef7a,2020-09-10 05:30:04,A4:D9:90:62:F1:FD,61
