customer_id,android_id,trans_time,ipv4,ipv4_flag,ipv4_id
4277176,8371efe4c0be458d,2020-08-10 10:20:05,100.109.22.235,1,6731
4279292,559640b52ae9528b,2020-07-28 22:40:09,100.84.103.61,1,6732
3992869,c31a622599a89bc1,2020-08-20 17:15:12,100.76.174.40,1,6733
2813356,f529a7d452029de7,2020-06-15 13:03:18,102.21.126.117,1,6734
2813356,f529a7d452029de7,2020-06-15 13:03:18,105.98.171.161,1,6735
2813356,f529a7d452029de7,2020-06-15 13:03:18,102.165.190.60,1,6736
4001918,d6763e523d6863ed,2020-09-04 21:50:12,105.115.195.4,1,6737
3757489,b0e78cf6df18235d,2020-06-26 19:30:17,105.17.130.145,1,6738
4194466,f0e3d7cdb25a38d3,2020-08-15 08:55:13,100.72.202.7,1,6739
4206032,aa18c2c1833fb7a9,2020-08-18 18:05:16,105.37.247.60,1,6740
4317821,5bc3dd74ccebab68,2020-08-28 09:20:21,100.73.41.195,1,6741
4346825,264c2bd3460b1ea6,2020-08-31 05:10:06,100.68.147.110,1,6742
4304610,4e65e19eba7e9287,2020-08-14 17:02:26,100.109.197.147,1,6743
4239247,d4737c9639340cee,2020-07-25 02:00:22,100.103.55.80,1,6744
4239247,d4737c9639340cee,2020-07-25 02:00:22,100.73.24.124,1,6745
4025505,9ee2ad68372fa6bd,2020-07-23 07:55:03,102.113.143.45,1,6746
4025505,9ee2ad68372fa6bd,2020-07-23 07:55:03,102.121.206.84,1,6747
4025505,9ee2ad68372fa6bd,2020-07-23 07:55:03,102.126.248.77,1,6748
4025505,9ee2ad68372fa6bd,2020-07-23 07:55:03,102.90.13.56,1,6749
4025505,9ee2ad68372fa6bd,2020-07-23 07:55:03,102.120.87.235,1,6750
4258797,8de24eb0e8ac49d3,2020-07-16 11:05:12,100.106.29.176,1,6751
4075715,1dd47a811cada0a7,2020-07-08 17:15:08,100.64.15.1,1,6752
4249308,3004f85a15271c4a,2020-07-23 17:00:19,15.10.21.97,1,6753
3631432,7e1cc5aba247d6a9,2020-06-12 16:20:07,102.42.99.165,1,6754
3631432,7e1cc5aba247d6a9,2020-06-12 16:20:07,105.35.34.101,1,6755
3631432,7e1cc5aba247d6a9,2020-06-12 16:20:07,105.13.164.211,1,6756
4080722,61845390eeb6383c,2020-09-10 21:15:12,102.29.74.111,1,6757
4080722,61845390eeb6383c,2020-09-10 21:15:12,102.127.146.209,1,6758
4271355,68e039688be87897,2020-08-19 12:10:09,105.18.14.155,1,6759
4271355,68e039688be87897,2020-08-19 12:10:09,102.70.133.105,1,6760
4301634,38c379e66b851ea7,2020-08-19 10:20:20,100.71.148.151,1,6761
4160138,6418e71cacb1e3d5,2020-08-27 12:10:09,100.67.73.169,1,6762
3712636,741dec3134728ff2,2020-07-15 15:30:01,100.69.187.179,1,6763
3712636,741dec3134728ff2,2020-07-15 15:30:01,100.69.141.119,1,6764
4262428,91452756ceb88bf0,2020-08-25 05:02:13,100.122.233.165,1,6765
4262428,91452756ceb88bf0,2020-08-25 05:02:13,100.108.64.238,1,6766
4301705,5ad97678025d272d,2020-08-15 09:05:20,100.82.246.252,1,6767
4301705,5ad97678025d272d,2020-08-15 09:05:20,100.89.255.222,1,6768
4363987,914af8693d80c39c,2020-09-09 08:00:07,100.64.182.196,1,6769
4027802,1da978a2b646cdd0,2020-08-15 18:35:34,100.71.150.218,1,6770
4127727,207195d66da05b11,2020-08-31 14:21:26,100.65.117.236,1,6771
4127727,207195d66da05b11,2020-08-31 14:21:26,100.68.103.216,1,6772
4127727,207195d66da05b11,2020-08-31 14:21:26,105.121.37.38,1,6773
4389882,46a202a640989713,2020-09-11 15:25:08,200.9.1.217,1,6774
4368663,aca9069b2da290a5,2020-09-03 15:46:13,100.83.225.81,1,6775
4296938,0bc62622e2f3bf75,2020-08-09 01:04:10,105.38.56.94,1,6776
4350459,fbe291f233470309,2020-09-07 17:55:08,105.55.29.21,1,6777
4258683,398793697afc3924,2020-08-02 19:55:12,105.95.153.10,1,6778
4161583,fae65c90afe7e809,2020-09-10 06:40:10,100.66.169.115,1,6779
3970069,f5f4593f06542dbd,2020-08-25 10:25:30,100.70.99.43,1,6780
4245758,6473008869f5305d,2020-07-09 16:20:15,105.115.22.225,1,6781
4245758,6473008869f5305d,2020-07-09 16:20:15,105.97.26.128,1,6782
4350186,165a4db8a036a1b5,2020-08-31 19:55:16,100.114.108.123,1,6783
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.46.173.170,1,6784
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.27.176.137,1,6785
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.34.35.127,1,6786
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.66.170.48,1,6787
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.36.2.144,1,6788
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.65.146.233,1,6789
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.39.106.48,1,6790
3495857,2682fd11f8705d80,2020-07-29 19:30:13,100.126.8.187,1,6791
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.47.43.44,1,6792
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.31.138.216,1,6793
3495857,2682fd11f8705d80,2020-07-29 19:30:13,102.43.84.208,1,6794
3495857,2682fd11f8705d80,2020-07-29 19:30:13,105.17.241.251,1,6795
4260754,beabd3e58c54f5cf,2020-07-17 14:10:24,100.71.164.246,1,6796
4406702,a12122a4f8a740dd,2020-09-21 13:40:11,100.66.80.205,1,6797
4206032,aa18c2c1833fb7a9,2020-08-18 18:05:16,102.38.142.76,1,6798
4163508,171919c04610e432,2020-07-23 09:00:10,100.107.36.182,1,6799
4400230,c6d3abdb12f6f79a,2020-09-16 20:05:08,100.109.24.24,1,6800
4124658,3e425cdee057520a,2020-08-02 16:55:10,102.122.157.37,1,6801
4288578,338b26c642f09bab,2020-08-11 01:50:10,100.94.2.105,1,6802
4267828,105ad5b500bc2dae,2020-07-21 07:10:11,100.68.36.101,1,6803
4343942,3ba72754449a409e,2020-08-25 11:55:15,100.65.144.243,1,6804
4298765,03b2c06b8f631947,2020-08-09 20:25:16,105.78.230.165,1,6805
4158100,47709ea0b04542d6,2020-07-31 10:55:13,105.36.66.109,1,6806
4158100,47709ea0b04542d6,2020-07-31 10:55:13,102.82.126.56,1,6807
4158100,47709ea0b04542d6,2020-07-31 10:55:13,102.80.177.139,1,6808
4252168,95617c64cbc182b4,2020-07-15 06:15:05,105.47.196.68,1,6809
4283174,3fffd5d1b36d5012,2020-08-02 16:35:13,102.237.73.131,1,6810
4205325,c4c841ce47951f13,2020-06-11 01:35:07,102.198.91.144,1,6811
4205325,c4c841ce47951f13,2020-06-11 01:35:07,105.86.239.28,1,6812
4205325,c4c841ce47951f13,2020-06-11 01:35:07,105.87.232.168,1,6813
4138157,11f61e04670542b0,2020-08-04 11:50:12,100.78.81.60,1,6814
4142909,9da88f0e9b701345,2020-06-05 10:15:07,102.139.97.78,1,6815
4302319,d1c31e6359c5142e,2020-08-11 14:25:36,100.98.126.154,1,6816
4268345,8a203eaf7f0a2fc4,2020-08-28 09:40:24,100.71.138.252,1,6817
2060366,29d7613a45c739d2,2020-08-23 06:35:11,100.127.139.56,1,6818
4043198,1546092fa850207a,2020-07-07 07:25:12,100.66.66.220,1,6819
4043198,1546092fa850207a,2020-07-07 07:25:12,100.74.194.136,1,6820
4043198,1546092fa850207a,2020-07-07 07:25:12,100.72.239.177,1,6821
2819753,6d98c8cd4ac6fee5,2020-08-20 15:10:21,100.65.121.152,1,6822
2116431,8f2528213baad7be,2020-08-26 09:20:20,100.94.200.39,1,6823
3846489,b5909981054b2bbc,2020-06-26 13:05:09,102.101.112.172,1,6824
3846489,b5909981054b2bbc,2020-06-26 13:05:09,105.47.32.118,1,6825
3846489,b5909981054b2bbc,2020-06-26 13:05:09,102.86.236.12,1,6826
4143538,bd5368a22f4bf705,2020-07-23 17:00:08,100.126.166.110,1,6827
4089677,79ceda846fa02b77,2020-07-28 11:40:18,100.71.179.227,1,6828
4239661,b05afe826e90b1dc,2020-07-04 14:00:13,100.69.20.233,1,6829
4074115,37cdc7a993fb06fe,2020-07-13 08:55:18,100.116.178.91,1,6830
3952062,df0967310642cbe9,2020-07-07 10:50:08,100.71.113.69,1,6831
4393993,db3348db1dd74478,2020-09-14 12:40:25,100.65.92.171,1,6832
4265371,d40e81019655b01b,2020-07-29 10:20:02,100.65.60.239,1,6833
4241316,0a4af7f7b7d076d5,2020-07-10 07:15:06,105.53.3.166,1,6834
4344431,f18c64d3d3b34acf,2020-08-25 13:40:19,100.101.221.168,1,6835
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,105.42.169.155,1,6836
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,105.57.142.220,1,6837
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,102.94.61.40,1,6838
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,105.63.52.210,1,6839
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,100.68.59.133,1,6840
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,102.36.88.90,1,6841
4119930,e2999c1b7682a0c2,2020-09-08 14:55:09,105.49.84.215,1,6842
4192167,284d4948f6e20106,2020-09-22 12:20:23,100.122.137.188,1,6843
4231724,cc31aaaa165a587e,2020-06-29 09:20:07,100.101.110.183,1,6844
3482354,b188c1b2fa26e168,2020-08-06 13:40:10,102.218.137.204,1,6845
3482354,b188c1b2fa26e168,2020-08-06 13:40:10,102.16.238.211,1,6846
3482354,b188c1b2fa26e168,2020-08-06 13:40:10,102.16.236.67,1,6847
3981936,409b63143c7974ea,2020-06-20 08:40:10,105.29.234.90,1,6848
4333983,aa25b691570eba8b,2020-08-22 18:05:08,105.110.31.110,1,6849
4298473,359298ad2a72ef88,2020-08-28 10:10:20,100.75.221.244,1,6850
4298473,359298ad2a72ef88,2020-08-28 10:10:20,100.73.192.198,1,6851
3838617,370de6a05640ec59,2020-09-17 09:40:04,105.46.141.117,1,6852
3838617,370de6a05640ec59,2020-09-17 09:40:04,105.19.141.124,1,6853
3659294,92a575e3ad60afd6,2020-08-28 01:00:24,100.75.47.5,1,6854
4030079,77ccd2bd3a513b78,2020-08-08 11:25:20,105.120.118.83,1,6855
4288496,a592894fae11335a,2020-08-04 15:00:08,105.37.101.130,1,6856
4347947,e7c5b26f88747e37,2020-08-27 11:25:45,100.102.38.231,1,6857
4357892,2c2b34f249755596,2020-09-01 10:45:18,102.29.195.133,1,6858
4067926,c3d6ff7ecea4a474,2020-09-12 12:50:18,102.1.59.162,1,6859
4067926,c3d6ff7ecea4a474,2020-09-12 12:50:18,102.60.124.88,1,6860
4067926,c3d6ff7ecea4a474,2020-09-12 12:50:18,102.8.124.131,1,6861
4364703,5c7359e26b064a06,2020-09-02 15:47:57,11.11.0.13,1,6862
4324278,e2875fbbe68eb035,2020-08-19 11:15:09,102.59.239.82,1,6863
4360029,7a6f24bb251cc06e,2020-09-01 16:40:05,100.97.36.194,1,6864
2481746,84f87fde3c65765e,2020-07-03 11:30:14,102.146.175.198,1,6865
4172366,09b2a1ade3aa80cb,2020-06-06 12:55:13,100.79.29.107,1,6866
4172366,09b2a1ade3aa80cb,2020-06-06 12:55:13,100.66.182.203,1,6867
4172366,09b2a1ade3aa80cb,2020-06-06 12:55:13,100.71.26.73,1,6868
4113696,e054ef677f9e2410,2020-06-23 11:00:13,100.104.149.188,1,6869
3994309,804bf98ba642e32b,2020-07-04 14:15:14,100.72.35.208,1,6870
3994309,804bf98ba642e32b,2020-07-04 14:15:14,100.74.232.251,1,6871
3716125,49a3b8d7e38c1847,2020-07-07 14:00:13,102.5.90.234,1,6872
3716125,49a3b8d7e38c1847,2020-07-07 14:00:13,100.75.166.209,1,6873
4280587,9d957216ce376343,2020-08-05 13:45:18,105.106.211.159,1,6874
4323337,973202ee85920690,2020-08-19 09:50:14,100.98.94.58,1,6875
4388108,e17ff08962a46a0d,2020-09-10 13:30:12,105.131.92.132,1,6876
4259007,31e76e102df53f57,2020-08-12 14:45:16,102.200.85.106,1,6877
4259007,31e76e102df53f57,2020-08-12 14:45:16,102.16.206.146,1,6878
4094895,54a27865329da5bf,2020-08-26 09:20:10,100.84.177.124,1,6879
2043776,61b31c0f3fb1608d,2020-08-19 16:00:17,102.143.135.24,1,6880
4293064,95bfc74fb3a17d5b,2020-08-19 10:55:10,100.98.253.6,1,6881
3952062,df0967310642cbe9,2020-07-07 10:50:08,100.65.85.105,1,6882
4322850,83a7d5922b983a63,2020-08-18 17:10:23,100.100.213.206,1,6883
4360151,a83fc32dc4d65880,2020-09-01 06:30:13,100.115.209.30,1,6884
3992123,ca2fa66477b411d4,2020-06-29 10:50:06,102.87.1.104,1,6885
4250142,dab16e6d7ec7795b,2020-07-10 21:20:06,100.76.89.169,1,6886
