customer_id,android_id,trans_time,wifi_list,wifi_list_id
4156671,af0ea8e0e1d3572a,2020-07-18 12:55:04,cc:06:77:28:1b:58,0
588378,205d074387ab374c,2020-08-14 08:20:09,20:f1:7c:d5:4b:ac,1
588378,205d074387ab374c,2020-08-14 08:20:09,04:b0:e7:59:2f:0c,2
588378,205d074387ab374c,2020-08-14 08:20:09,5c:54:6d:2b:c8:dc,3
588378,205d074387ab374c,2020-08-14 08:20:09,ac:61:75:9d:26:64,4
588378,205d074387ab374c,2020-08-14 08:20:09,1c:3b:f3:d8:60:25,5
4368397,1305624a094f76f6,2020-09-20 10:30:13,d8:32:14:02:d9:a0,6
4368397,1305624a094f76f6,2020-09-20 10:30:13,50:0f:f5:cd:c5:f8,7
4368397,1305624a094f76f6,2020-09-20 10:30:13,68:72:51:40:cf:13,8
4297014,23693591bdef6972,2020-09-03 09:30:08,18:3d:5e:f9:86:74,9
4297014,23693591bdef6972,2020-09-03 09:30:08,04:95:e6:bd:89:b0,10
4297014,23693591bdef6972,2020-09-03 09:30:08,78:58:60:8c:ea:90,11
4297014,23693591bdef6972,2020-09-03 09:30:08,78:b4:6a:ef:6f:28,12
4297014,23693591bdef6972,2020-09-03 09:30:08,24:16:6d:e8:58:c8,13
4297014,23693591bdef6972,2020-09-03 09:30:08,8c:e5:ef:ee:10:5c,14
4297014,23693591bdef6972,2020-09-03 09:30:08,20:65:8e:c7:19:10,15
4297014,23693591bdef6972,2020-09-03 09:30:08,08:4f:0a:e7:50:f8,16
4341397,f4c06760df822b5e,2020-09-03 09:25:24,84:78:ac:a1:64:2f,17
4341397,f4c06760df822b5e,2020-09-03 09:25:24,84:78:ac:a1:64:20,18
4341397,f4c06760df822b5e,2020-09-03 09:25:24,60:63:4c:26:8e:8c,19
4341397,f4c06760df822b5e,2020-09-03 09:25:24,84:78:ac:a1:64:2d,20
4341397,f4c06760df822b5e,2020-09-03 09:25:24,84:78:ac:a1:64:22,21
4341397,f4c06760df822b5e,2020-09-03 09:25:24,f4:b8:a7:a7:14:7d,22
4341397,f4c06760df822b5e,2020-09-03 09:25:24,00:1e:f7:6f:1a:50,23
4341397,f4c06760df822b5e,2020-09-03 09:25:24,28:02:d8:fe:eb:ec,24
4341397,f4c06760df822b5e,2020-09-03 09:25:24,20:5e:f7:ad:c8:38,25
4341397,f4c06760df822b5e,2020-09-03 09:25:24,c0:87:eb:90:53:8b,26
4341397,f4c06760df822b5e,2020-09-03 09:25:24,ee:51:bc:66:fc:61,27
4341397,f4c06760df822b5e,2020-09-03 09:25:24,72:44:e3:5c:eb:a6,28
4341397,f4c06760df822b5e,2020-09-03 09:25:24,f8:44:e3:5c:eb:a5,29
4341397,f4c06760df822b5e,2020-09-03 09:25:24,0e:98:38:f1:d2:2f,30
4341397,f4c06760df822b5e,2020-09-03 09:25:24,0e:a8:a7:ac:6b:f6,31
4341397,f4c06760df822b5e,2020-09-03 09:25:24,dc:99:14:4d:be:1c,32
4341397,f4c06760df822b5e,2020-09-03 09:25:24,0c:98:38:32:9c:59,33
4341397,f4c06760df822b5e,2020-09-03 09:25:24,76:be:48:e6:82:f3,34
4341397,f4c06760df822b5e,2020-09-03 09:25:24,dc:99:14:4d:c2:2c,35
4341397,f4c06760df822b5e,2020-09-03 09:25:24,de:a1:ad:c8:c3:f8,36
4341397,f4c06760df822b5e,2020-09-03 09:25:24,a6:d9:90:d4:84:c9,37
4341397,f4c06760df822b5e,2020-09-03 09:25:24,5c:95:de:32:8b:f4,38
4341397,f4c06760df822b5e,2020-09-03 09:25:24,da:ce:3a:e4:7d:8f,39
4341397,f4c06760df822b5e,2020-09-03 09:25:24,e4:7d:eb:35:8a:1b,40
4341397,f4c06760df822b5e,2020-09-03 09:25:24,3e:b6:b7:2a:f9:87,41
4341397,f4c06760df822b5e,2020-09-03 09:25:24,8a:75:98:54:f3:d4,42
4341397,f4c06760df822b5e,2020-09-03 09:25:24,0a:94:26:50:f2:52,43
4341397,f4c06760df822b5e,2020-09-03 09:25:24,8a:dc:96:1e:11:66,44
4341397,f4c06760df822b5e,2020-09-03 09:25:24,18:02:ae:74:59:9d,45
4341397,f4c06760df822b5e,2020-09-03 09:25:24,c0:25:e9:a2:76:f0,46
4341397,f4c06760df822b5e,2020-09-03 09:25:24,a6:be:2b:60:3c:51,47
4341397,f4c06760df822b5e,2020-09-03 09:25:24,a4:be:2b:60:3c:50,48
4341397,f4c06760df822b5e,2020-09-03 09:25:24,48:f8:b3:b5:5e:6e,49
4341397,f4c06760df822b5e,2020-09-03 09:25:24,dc:99:14:4d:7c:68,50
4341397,f4c06760df822b5e,2020-09-03 09:25:24,8c:53:c3:6b:99:53,51
4341397,f4c06760df822b5e,2020-09-03 09:25:24,48:f8:b3:e0:5a:68,52
4341397,f4c06760df822b5e,2020-09-03 09:25:24,16:ab:51:ba:36:18,53
4341397,f4c06760df822b5e,2020-09-03 09:25:24,2a:31:66:87:1d:8d,54
4341397,f4c06760df822b5e,2020-09-03 09:25:24,c2:86:a2:1f:6c:d0,55
4341397,f4c06760df822b5e,2020-09-03 09:25:24,be:fc:01:3a:8a:6e,56
4341397,f4c06760df822b5e,2020-09-03 09:25:24,28:02:d8:67:05:ee,57
4341397,f4c06760df822b5e,2020-09-03 09:25:24,88:d5:0c:2b:75:b8,58
4341397,f4c06760df822b5e,2020-09-03 09:25:24,6a:bf:c4:11:02:40,59
4341397,f4c06760df822b5e,2020-09-03 09:25:24,36:e9:11:3b:cb:65,60
4341397,f4c06760df822b5e,2020-09-03 09:25:24,9a:dc:96:1e:11:66,61
4341397,f4c06760df822b5e,2020-09-03 09:25:24,0c:a8:a7:9e:9e:b6,62
4341397,f4c06760df822b5e,2020-09-03 09:25:24,dc:99:14:4d:c1:e0,63
4341397,f4c06760df822b5e,2020-09-03 09:25:24,88:5d:fb:bf:08:48,64
4341397,f4c06760df822b5e,2020-09-03 09:25:24,20:47:da:41:43:c1,65
