user_id,customer_id,android_id,trans_time,wifi_list,wifi_list_id
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,f0:8c:fb:29:13:f0,12210
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,74:5b:c5:43:1f:9c,12211
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,0c:98:38:a9:f0:6d,12212
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,9a:c8:b8:90:5c:9b,12213
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,0e:a8:a7:5d:ca:34,12214
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,74:cc:39:90:b2:98,26688
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,6e:c7:ec:6f:07:09,26689
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,7c:a7:b0:82:c6:99,26690
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,80:3f:5d:5e:b9:43,26691
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,2c:fd:ab:94:95:39,26692
22,880193,fb67e348a504db10,2020-07-14 11:30:23,14:4d:67:36:98:6c,24246
22,880193,fb67e348a504db10,2020-07-14 11:30:23,ac:84:c6:02:76:ae,24247
22,880193,fb67e348a504db10,2020-07-14 11:30:23,94:e0:d6:84:7b:41,24248
22,880193,fb67e348a504db10,2020-07-14 11:30:23,c4:ad:34:28:e0:77,24249
22,880193,fb67e348a504db10,2020-07-14 11:30:23,da:a3:15:81:2e:4b,24250
22,880193,fb67e348a504db10,2020-07-14 11:30:23,6a:bf:c4:1d:5a:c6,24251
22,880193,fb67e348a504db10,2020-07-14 11:30:23,68:72:51:4c:c5:aa,24252
22,880193,fb67e348a504db10,2020-07-14 11:30:23,80:02:9c:09:a6:96,24253
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,d8:32:14:5d:6e:31,46406
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,fc:a6:cd:ae:bd:c0,46407
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,fc:a6:cd:ae:e2:a8,46408
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,7c:1c:f1:79:8e:38,46409
