user_id,customer_id,android_id,trans_time,wifimac,wifimac_id
0,862201,b9f7a362982aaee0,2020-07-13 18:05:08,70:B7:AA:A8:69:D5,32183
1,4271399,0461d79919186b9d,2020-07-27 10:25:27,4C:66:41:50:BC:E1,27064
2,4284127,538ba9d7767afa93,2020-08-01 09:15:17,1C:C3:EB:49:8E:1D,16092
3,4237165,c5bdf3f3623df3b5,2020-07-03 13:05:09,C4:0B:CB:E6:CB:48,14634
4,4091456,164d8123ead96078,2020-06-12 19:05:11,0C:98:38:39:EE:B9,18024
5,4280368,dcaa8cbed54e3224,2020-07-29 15:05:31,42:5C:4E:B3:0C:E9,31175
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,88:D5:0C:13:EC:FA,6431
7,4231308,d0917b4360cbec14,2020-06-28 19:15:08,2A:78:21:24:41:43,11924
8,4255216,09e69907ac2f3d72,2020-07-14 11:55:11,0C:A8:A7:D0:42:84,7795
9,4277377,4e69ebabcdae2648,2020-07-30 06:40:02,C0:87:EB:D5:85:2B,7341
10,4128829,df195a15d7d30b64,2020-07-18 19:00:02,C0:87:EB:BE:6D:27,6570
11,4036890,f4ea2dcc07b90f8a,2020-07-06 09:55:26,88:D5:0C:08:65:78,5247
12,4273337,0eb0a8a94faac478,2020-07-25 08:55:23,08:7F:98:C9:9C:5F,21654
13,4290405,e3e443eac08e12a5,2020-08-06 09:55:12,48:83:B4:61:CD:9D,29258
14,3126296,1a271553f7f842d1,2020-07-13 12:45:17,0C:A8:A7:26:7A:02,11922
15,4259416,10e23540d6258194,2020-07-16 17:45:14,0C:A8:A7:9B:64:F0,3326
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,1C:77:F6:4A:24:EF,15127
17,4259716,43ddd76ceb5e9850,2020-07-17 01:01:31,A4:D9:90:70:3D:4D,32922
18,1628568,2e7b05fddbba0064,2020-07-13 07:05:05,20:5E:F7:9F:2E:1A,23134
19,3697352,11687f05bf84ed6f,2020-07-04 05:55:16,C0:87:EB:00:16:8F,25515
20,4054399,abfca0d64f45da04,2020-07-16 07:45:19,18:02:AE:8D:89:5B,22253
21,4290530,e1f77bbd744c8598,2020-08-05 20:15:18,0C:98:38:19:EF:8B,19778
22,880193,fb67e348a504db10,2020-07-14 11:30:23,B4:A5:AC:BF:CD:7B,13746
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,0C:A8:A7:38:20:44,27344
23,4148588,0f7e9c96b624a217,2020-07-10 16:40:08,F2:1D:00:D6:9D:B2,27345
24,4278274,04ef9529e445dc1d,2020-07-28 12:15:24,F4:D6:20:96:6C:A2,15662
25,4204967,e1ca1b67f5884793,2020-06-08 11:05:08,20:F7:7C:36:2A:65,33436
26,4040899,2c6e574ae403e980,2020-07-26 09:40:02,0C:98:38:F4:52:59,33487
27,4245085,7e1f8ace04415364,2020-07-07 12:45:13,08:7F:98:EC:CB:65,33302
28,4264680,b04ab427d971e7a0,2020-07-19 15:15:25,C0:85:4C:A2:61:B4,31597
29,1371013,20db5448087bf584,2020-07-28 15:45:14,88:D5:0C:13:D1:8C,21941
30,4212029,0285d8fbb32128f3,2020-06-10 11:55:08,D0:9C:7A:1C:F5:08,23837
31,3438483,34a5596fc0290b2d,2020-07-22 15:50:09,AA:03:A4:2C:DB:AD,30669
31,3438483,34a5596fc0290b2d,2020-07-22 15:50:09,10:89:FB:5F:95:D0,30670
32,4258554,6c882dca9bff73df,2020-07-16 07:45:26,9C:5F:5A:AD:EF:29,6573
33,4221454,7b63d71e5d1fe014,2020-06-20 10:40:18,9C:6B:72:0D:8E:5B,30859
34,4220955,49d77733aec21bf7,2020-06-20 09:45:19,44:46:87:80:96:A7,9110
35,4264060,4c0b0ccf75f344ae,2020-07-19 13:30:02,20:34:FB:F1:D5:76,33140
36,4281257,97a950abd64af2ed,2020-07-30 17:45:15,08:7F:98:FF:3E:CD,21270
37,4233375,6630da1dcc0d81e4,2020-07-03 19:40:14,14:32:D1:9E:E8:F9,10790
38,4281565,32819c44a2558c8b,2020-07-30 10:35:22,44:46:87:7F:B9:7D,31596
39,4260617,3aeb405847c29d67,2020-07-17 16:15:11,5C:66:6C:97:2D:55,21653
40,4268989,e850d7965c86f6bf,2020-07-22 14:55:25,18:01:F1:CA:D4:05,12048
41,4257587,90200c6d3a95141a,2020-07-16 09:20:19,1C:77:F6:48:F4:ED,17814
42,4238764,f93cf264cf8591d3,2020-07-03 21:05:10,A4:D9:90:9D:56:97,30415
43,4272132,c61205ec628abe91,2020-07-24 09:45:29,D8:C4:6A:C7:E3:1E,25780
44,4267203,48cb893f5a833b11,2020-07-20 17:00:12,70:BB:E9:AF:48:5D,8151
45,4263167,c0f2ecd132a6bb1c,2020-07-19 06:20:05,9C:6B:72:6D:07:5F,30318
46,4236085,e69b8c7051700a09,2020-07-02 14:40:11,20:74:54:9E:85:8F,13779
47,4276051,6519cd3e8273f816,2020-07-26 20:20:08,D8:CE:3A:53:4F:51,10038
48,4286026,3f334fb5b77d6f23,2020-08-02 09:55:19,B4:CB:57:74:D1:A9,5032
50,3506237,dcc4e7aa1289b66a,2020-07-23 12:35:22,00:EC:0A:DE:5C:7F,10960
51,4284209,5a7eb69e4d429612,2020-08-02 10:50:10,28:33:34:15:82:46,23186
52,4283819,81d40ba49a903dd2,2020-08-02 19:55:07,0C:98:38:93:89:9B,25514
53,4242683,1021b689eb8df955,2020-07-06 10:55:20,F4:D6:20:95:12:E0,18641
54,4251652,8280f8cae49f30c1,2020-07-12 06:20:01,9C:6B:72:A3:1B:39,33488
55,4227085,c745ef8ecd5ffefa,2020-06-25 12:30:06,9C:5F:5A:7E:61:67,27068
56,4250880,744423a2c4710c35,2020-07-11 13:45:06,F8:E7:A0:14:EC:07,23834
57,2979756,5c8bc95c5e6a168e,2020-06-22 12:40:07,C0:87:EB:9E:AB:A1,4961
58,4256152,b736bf1f7d83076d,2020-07-14 19:25:06,18:02:AE:95:07:7F,29256
59,4251839,f37b939a468ffca7,2020-07-12 09:55:07,EC:D0:9F:4D:1E:4F,27959
60,3673296,c7ec1ee70bc39d98,2020-08-02 15:35:15,E4:C4:83:49:C7:ED,7401
61,4250291,146446b86753c9f6,2020-07-21 19:50:19,94:D0:29:3F:D9:E3,13551
62,3695258,1a7e09e82e66a9a6,2020-06-17 14:10:08,D0:9C:7A:09:BB:82,31043
