user_id,customer_id,android_id,trans_time,ipv4,ipv4_flag,ipv4_id
2,4284127,538ba9d7767afa93,2020-08-01 09:15:17,100.64.146.176,1,3852
9,4277377,4e69ebabcdae2648,2020-07-30 06:40:02,198.51.100.111,1,260
11,4036890,f4ea2dcc07b90f8a,2020-07-06 09:55:26,100.65.255.181,1,1176
12,4273337,0eb0a8a94faac478,2020-07-25 08:55:23,102.140.144.202,1,5144
13,4290405,e3e443eac08e12a5,2020-08-06 09:55:12,100.87.162.23,1,7123
19,3697352,11687f05bf84ed6f,2020-07-04 05:55:16,100.66.64.29,1,6167
21,4290530,e1f77bbd744c8598,2020-08-05 20:15:18,100.87.42.23,1,4730
22,880193,fb67e348a504db10,2020-07-14 11:30:23,100.67.54.74,1,3228
34,4220955,49d77733aec21bf7,2020-06-20 09:45:19,102.9.91.28,1,2077
37,4233375,6630da1dcc0d81e4,2020-07-03 19:40:14,100.116.138.135,1,2472
53,4242683,1021b689eb8df955,2020-07-06 10:55:20,105.33.65.93,1,4455
53,4242683,1021b689eb8df955,2020-07-06 10:55:20,102.45.37.52,1,4456
60,3673296,c7ec1ee70bc39d98,2020-08-02 15:35:15,105.56.33.231,1,1667
63,4191693,0e820c5b93186024,2020-07-14 15:15:15,105.39.27.59,1,1781
76,4159458,967f2d91901d57f5,2020-07-06 11:20:10,100.84.133.158,1,4147
77,858631,39017a2388cfdad2,2020-07-07 20:55:19,105.31.149.1,1,4508
78,4283127,93ede0cdd2de486b,2020-07-31 12:45:19,105.40.115.110,1,5895
85,4280448,e561cad1fafcfe1a,2020-07-30 11:15:20,100.97.96.97,1,2332
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,102.30.162.35,1,8231
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,102.80.34.27,1,8232
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,102.107.104.211,1,8233
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,105.46.220.49,1,8234
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,102.168.241.111,1,8235
86,3599566,9b4d33681c001cec,2020-07-29 11:10:02,102.154.109.187,1,8236
87,4291273,4a814ad034345693,2020-08-06 08:25:26,105.44.43.136,1,4579
90,3923444,2a4c2d98ddbbc157,2020-07-17 22:05:13,100.117.83.192,1,3590
95,4249798,79af7c31fc0761f7,2020-07-18 14:50:07,100.103.59.71,1,2328
95,4249798,79af7c31fc0761f7,2020-07-18 14:50:07,100.66.85.35,1,2329
95,4249798,79af7c31fc0761f7,2020-07-18 14:50:07,100.68.137.53,1,2330
95,4249798,79af7c31fc0761f7,2020-07-18 14:50:07,100.64.222.52,1,5768
102,4239784,4453ac6bb6cbac5e,2020-07-15 10:15:20,105.27.250.221,1,3712
102,4239784,4453ac6bb6cbac5e,2020-07-15 10:15:20,105.24.24.66,1,3713
113,3719359,cffa8febae4b01f3,2020-07-25 21:10:08,100.102.236.250,1,3814
118,4042258,095fd9ebb1589bcd,2020-07-04 10:35:09,105.60.196.202,1,5752
124,4246105,ce5607f8fcb00e23,2020-07-17 02:05:08,100.74.36.132,1,3246
127,4265080,18cd9ad2200a9a66,2020-07-22 18:15:18,100.88.155.173,1,8160
133,1097410,33050c8c60031570,2020-06-04 15:35:07,105.63.118.164,1,5639
135,4291055,c8a83b231c8d20ae,2020-08-06 02:35:05,100.77.38.49,1,259
137,3856119,2b1669309453f71c,2020-08-05 08:05:23,102.1.54.192,1,6671
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.227.244.85,1,802
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.195.40.29,1,803
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.230.205.160,1,804
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.110.86.103,1,805
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.160.238.147,1,806
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.178.36.195,1,807
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.167.130.59,1,808
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.21.72.46,1,809
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.108.114.46,1,810
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.112.229.167,1,811
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.85.146.90,1,3685
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.224.134.189,1,3686
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.199.187.172,1,3687
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.18.92.79,1,7274
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.201.217.215,1,7275
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.220.90.176,1,7276
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.110.203.241,1,7277
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.104.142.181,1,7278
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,105.118.76.18,1,7279
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.230.34.132,1,7280
139,4225270,a7b5998517a360c6,2020-07-07 11:35:12,102.195.107.81,1,7281
143,4287627,ec82e10b1395f543,2020-08-03 18:30:10,105.40.5.60,1,1303
145,3310359,6ed422fbac0588bb,2020-07-19 15:25:06,100.74.158.116,1,23
146,4269666,0a5c661814ad2ca2,2020-07-22 11:30:08,102.32.40.25,1,3856
147,4257281,8f7103d054b1ac05,2020-07-15 13:05:38,100.64.66.60,1,8066
150,2355708,c155679578c60a65,2020-07-13 20:35:06,100.75.80.205,1,8053
156,3619801,7bc64922d473c6b0,2020-07-30 17:05:11,100.69.21.194,1,1976
158,3547574,ed35d0361acff8fc,2020-07-14 13:35:04,100.66.39.81,1,2441
163,4249299,36261c3e0a137fea,2020-07-29 11:15:14,105.50.143.8,1,348
163,4249299,36261c3e0a137fea,2020-07-29 11:15:14,105.36.79.240,1,349
163,4249299,36261c3e0a137fea,2020-07-29 11:15:14,105.15.210.97,1,350
165,4286399,dc8a98f622dbe1a4,2020-08-02 16:30:17,100.98.241.132,1,5810
166,4237187,164c4aeea0142c73,2020-07-03 06:50:08,105.48.90.69,1,3454
186,4213287,d4d7b5ffe61e8bb5,2020-06-12 06:50:10,100.97.236.12,1,4057
188,2487457,a60b8638aadb4eba,2020-07-19 20:05:05,105.35.200.53,1,620
189,4152521,095ca1b7b6c2c360,2020-06-20 09:10:12,100.65.8.19,1,463
204,4210430,98b08a3556e27a39,2020-07-14 08:35:21,100.120.159.141,1,2569
204,4210430,98b08a3556e27a39,2020-07-14 08:35:21,100.112.187.165,1,2570
221,2813356,f529a7d452029de7,2020-06-15 13:03:18,102.21.126.117,1,6734
221,2813356,f529a7d452029de7,2020-06-15 13:03:18,105.98.171.161,1,6735
221,2813356,f529a7d452029de7,2020-06-15 13:03:18,102.165.190.60,1,6736
222,4281561,db68b11f24ebb03e,2020-07-30 09:35:25,105.0.240.33,1,5085
228,3922837,049ae4f0beee4498,2020-06-15 13:25:17,100.70.242.5,1,4103
231,4279658,3bdb2b7cf5c94fa0,2020-07-29 16:40:12,105.34.121.26,1,6966
235,3795795,0d69b0dc1622f9e9,2020-08-01 18:15:08,100.76.14.76,1,1007
242,3830087,e6533aac86ba2090,2020-07-12 12:25:08,100.115.78.88,1,2545
245,666804,48dd363d5aa0ec62,2020-06-26 09:25:09,100.64.156.214,1,2971
248,4276792,6330fa244c2dc6ae,2020-07-27 12:05:16,100.99.82.59,1,1884
255,4267975,32b2ab364a4003c5,2020-07-31 19:20:13,100.66.57.104,1,3547
260,1564680,39964691ccd42ef4,2020-06-25 14:50:08,100.121.229.132,1,6467
263,4246089,b1b5c06a2d812290,2020-07-09 09:15:12,100.74.209.194,1,7306
265,4063444,649c3bccff72d471,2020-07-06 17:45:20,100.64.173.42,1,2211
266,3938129,62b33c14e74e6217,2020-08-03 16:50:19,102.0.192.254,1,126
266,3938129,62b33c14e74e6217,2020-08-03 16:50:19,105.129.62.129,1,127
266,3938129,62b33c14e74e6217,2020-08-03 16:50:19,102.36.113.52,1,128
266,3938129,62b33c14e74e6217,2020-08-03 16:50:19,105.132.111.7,1,766
274,4085745,17b921f1879cb4ed,2020-07-19 09:00:20,100.106.79.202,1,1365
277,4276556,53cde5682f410cfb,2020-07-27 10:15:57,100.83.218.207,1,1216
307,4240668,5ec2955f61624e78,2020-07-07 12:25:06,100.75.222.170,1,6935
310,4076136,bd7827d4a32a9af4,2020-07-19 14:45:07,100.77.251.128,1,2899
319,4096234,90e42225b42b8518,2020-08-06 12:45:19,100.76.241.70,1,2920
320,4282229,b61e274304dea2a3,2020-07-30 16:50:07,100.104.207.186,1,68
326,3985956,5dc12e453b789306,2020-07-15 22:30:11,22.22.22.112,1,5251
326,3985956,5dc12e453b789306,2020-07-15 22:30:11,22.22.22.103,1,5252
326,3985956,5dc12e453b789306,2020-07-15 22:30:11,22.22.22.139,1,5253
